time_s,displacement_m,displacement_mm,breathing_signal_m,heart_signal_m
0.0,0.0003505197550039728,0.3505197550039728,0.0004071498433664013,-0.0001978348478826638
0.05000000000000001,0.00022666832407963112,0.2266683240796311,0.00042387291549648705,-1.2028608172702605e-05
0.10000000000000002,0.0004532135471997343,0.45321354719973433,0.00043369075059440155,0.00016453768443098154
0.15000000000000002,0.0009219771694333224,0.9219771694333224,0.00043622078294446286,0.00029496263367474106
0.20000000000000004,0.0009169664726964887,0.9169664726964887,0.00043126220126476675,0.0003569825558391789
0.25000000000000006,0.0008630897022439009,0.8630897022439009,0.0004188025803512807,0.00034745232293167776
0.30000000000000004,0.0007414908844255203,0.7414908844255202,0.000399018589458141,0.00028096675100287415
0.3500000000000001,0.0005064743701912268,0.5064743701912268,0.0003722707893701944,0.0001835114983675185
0.4000000000000001,0.00035818947650010074,0.35818947650010075,0.0003390927305640551,8.352664901377245e-05
0.45000000000000007,0.00024073880819956635,0.24073880819956636,0.00030017475634262097,3.3977250054739845e-06
0.5000000000000001,0.00017505055209381413,0.17505055209381412,0.0002563430907374555,-4.600220714449115e-05
0.55,0.00012552979627698278,0.1255297962769828,0.0002085349452745558,-6.63185113711665e-05
0.6000000000000001,4.113137808399668e-05,0.04113137808399668,0.00015777050617080747,-6.846174801974526e-05
0.6500000000000001,-5.4242987802154174e-05,-0.054242987802154176,0.00010512275993747907,-6.669126368944424e-05
0.7000000000000002,-0.0001602450668286912,-0.1602450668286912,5.168617761095301e-05,-7.238147608227007e-05
0.7500000000000001,-0.000275713823866809,-0.275713823866809,-1.4546959599659922e-06,-8.970214869492305e-05
0.8000000000000002,-0.0003785121465773885,-0.37851214657738846,-5.325571174542799e-05,-0.0001145659413759446
0.8500000000000002,-0.0005232544262588249,-0.5232544262588249,-0.00010274165535566249,-0.00013691550464624917
0.9000000000000001,-0.0005511608607795632,-0.5511608607795632,-0.00014903194552119833,-0.00014521710825699585
0.9500000000000002,-0.0005607806365091473,-0.5607806365091473,-0.00019136269362783457,-0.0001313195386039678
1.0000000000000002,-0.000613715058484397,-0.613715058484397,-0.00022910446311840527,-9.384325667646722e-05
