time_s,displacement_m,displacement_mm,breathing_signal_m,heart_signal_m
0.0,0.0003083797748152364,0.3083797748152364,9.96789044168631e-05,8.615062646251432e-05
0.05000000000000001,0.00027944336407378836,0.27944336407378834,0.00010101911715456977,0.00011182451440820184
0.10000000000000002,0.0003009173829108435,0.30091738291084347,0.00010080298444806427,0.00011772188775246657
0.15000000000000002,0.00023464710162572202,0.23464710162572203,9.907068983840626e-05,0.00010288434513531116
0.20000000000000004,0.00010254427459227282,0.10254427459227282,9.59000440557089e-05,7.10442149472664e-05
0.25000000000000006,9.482316775473874e-05,0.09482316775473874,9.140235364364704e-05,2.9454280888586543e-05
0.30000000000000004,0.00012996425730155332,0.1299642573015533,8.571735288602335e-05,-1.31618285818434e-05
0.3500000000000001,0.0001358616049636713,0.1358616049636713,7.900741030527581e-05,-4.887308357110368e-05
0.4000000000000001,0.00013542351114967475,0.13542351114967474,7.145124039885022e-05,-7.233577988501446e-05
0.45000000000000007,0.0001272002957518886,0.1272002957518886,6.323736191160467e-05,-8.164600034249927e-05
0.5000000000000001,9.063922004286999e-05,0.09063922004286999,5.455754561469351e-05,-7.812492881245406e-05
0.55,4.4321489579673e-05,0.044321489579672996,4.5600487402754635e-05,-6.526952664528694e-05
0.6000000000000001,1.1468866409947456e-05,0.011468866409947456,3.654592697634019e-05,-4.734123134968458e-05
0.6500000000000001,-5.7346496103670984e-06,-0.0057346496103670985,2.7559409184737683e-05,-2.8113048334585784e-05
0.7000000000000002,2.4984484787471702e-05,0.0249844847874717,1.878785526858929e-05,-1.0151328706219399e-05
0.7500000000000001,8.862642259421819e-05,0.0886264225942182,1.0356075988415202e-05,5.2552042355277315e-06
0.8000000000000002,7.986542563960124e-05,0.07986542563960124,2.3643193564188797e-06,1.767760376415039e-05
0.8500000000000002,5.767136392542534e-05,0.057671363925425344,-5.113096070698669e-06,2.6969404235139325e-05
0.9000000000000001,1.6282258705047748e-07,0.00016282258705047748,-1.202805404100186e-05,3.286969248703677e-05
0.9500000000000002,-1.896698558984224e-05,-0.01896698558984224,-1.8357853267444477e-05,3.498450604156766e-05
1.0000000000000002,-6.332938889312235e-05,-0.06332938889312235,-2.4103433293651853e-05,3.3121471896037095e-05
1.0500000000000003,-7.560789713106073e-05,-0.07560789713106074,-2.9286723009279058e-05,2.7751393487649032e-05
1.1,-5.24591793104814e-05,-0.0524591793104814,-3.3947252352278e-05,2.028281031546258e-05
1.1500000000000001,-4.763603382916435e-05,-0.047636033829164356,-3.8138192797411614e-05,1.2903397718551864e-05
1.2000000000000002,-3.071135510163576e-05,-0.030711355101635758,-4.192201042508576e-05,7.939762597606492e-06
