time_s,displacement_m,displacement_mm,breathing_signal_m,heart_signal_m
0.0,-8.78240199248256e-05,-0.08782401992482561,0.00014424919876665713,2.2422016571231742e-05
0.05000000000000001,0.00011206186053859147,0.11206186053859148,0.0001595387738472171,0.00012499783084426276
0.10000000000000002,0.00029269700961705,0.29269700961705003,0.0001769612520949438,0.00022331170794820116
0.15000000000000002,8.559590710939695e-05,0.08559590710939695,0.00019671080680169726,0.00030901026409764715
0.20000000000000004,0.000170726007547731,0.170726007547731,0.0002188799612830337,0.0003698334574300438
0.25000000000000006,0.00013794130166157293,0.13794130166157292,0.0002434477186118618,0.000391415461228839
0.30000000000000004,0.00020537741239997034,0.20537741239997034,0.00027027059262669384,0.00036138052630037656
0.3500000000000001,0.00023227183295033852,0.2322718329503385,0.0002990770042477328,0.00027447513434765756
0.4000000000000001,0.00025607150299419075,0.25607150299419074,0.0003294655014258408,0.00013678400605802578
0.45000000000000007,0.00020523046650112943,0.20523046650112944,0.0003609072320574626,-3.292230720486534e-05
0.5000000000000001,4.0754201185578725e-05,0.04075420118557872,0.0003927530485592074,-0.0002058503373447
0.55,-0.00048599621933115967,-0.48599621933115966,0.000424245546240865,-0.000349590156714791
0.6000000000000001,-0.0004011134887912937,-0.4011134887912937,0.00045453622030045877,-0.0004364989707422231
0.6500000000000001,-0.0002966503112168923,-0.2966503112168923,0.00048270774414575085,-0.0004513334211016648
0.7000000000000002,-0.00015057587923563792,-0.15057587923563792,0.0005078011068147281,-0.00039544648664895934
0.7500000000000001,7.980409360754164e-05,0.07980409360754163,0.0005288470102253526,-0.0002859771387889789
0.8000000000000002,0.0003998943881632237,0.3998943881632237,0.0005449005624021256,-0.00015023545566061387
0.8500000000000002,0.0004895986687441762,0.4895986687441762,0.0005550779688894837,-1.72262797421889e-05
0.9000000000000001,0.0006352889767044969,0.6352889767044969,0.0005585936700232489,9.072285667112643e-05
0.9500000000000002,0.0008547842930082735,0.8547842930082735,0.0005547962264462865,0.00016335340058984852
1.0000000000000002,0.0006666064132053675,0.6666064132053675,0.0005432012297766336,0.00020317178745496732
1.0500000000000003,0.0006386573645407814,0.6386573645407814,0.000523519604280646,0.00022151618138419076
