time_s,breathing_rate_breaths_per_min,heart_rate_beats_per_min
7.500000000000002,20.1526081432502,57.439597128782104
8.500000000000002,6.079101562499999,56.50090948121842
9.500000000000002,20.301202553691336,56.248523581979356
10.500000000000002,20.35058905330934,56.69460464530614
11.500000000000002,20.60629509350443,57.63362275924931
12.500000000000002,20.691444871378927,60.17312444708248
13.500000000000002,20.814553510106315,61.96988223751599
14.500000000000002,21.08470409363453,63.116752208663904
15.500000000000004,21.309639360140412,63.63581074576713
16.500000000000004,21.456585290538104,63.961772423311764
17.500000000000004,21.51818102964992,64.0142247829662
18.500000000000004,21.38818285992911,63.683301954356
19.500000000000004,21.080765129202664,63.25480773318817
20.500000000000004,20.786806712003365,62.921988629625275
21.500000000000004,20.771925937049087,62.67669222526243
22.500000000000004,20.352165634955373,62.438997313797756
23.500000000000004,20.424884310292082,62.165598392689965
24.500000000000004,20.607968144493267,62.143914590097296
25.500000000000004,20.99194224711888,62.51571856031545
26.500000000000004,6.175831427369208,63.4940161882818
27.500000000000004,22.05634000721282,64.61578434147665
28.500000000000004,22.790274638198138,65.59002345692294
29.500000000000004,7.263531244602189,66.19751872058981
30.500000000000007,23.0163761875807,66.57145760513639
31.500000000000007,22.624734301233552,66.67447917486803
32.50000000000001,22.49229522632345,85.2337317254962
33.50000000000001,22.43564758890874,84.79743431862971
34.50000000000001,22.86906872202546,84.54765086064965
35.50000000000001,6.0,84.41254934906385
36.50000000000001,30.39193484626376,83.78565538622097
37.50000000000001,29.18691984596193,82.61950886892714
38.50000000000001,28.835503838171263,104.70574346750612
39.50000000000001,28.567726764410377,73.20903986573943
40.50000000000001,28.47059111245652,72.7817563726458
41.50000000000001,28.173069028020947,75.74499180979534
42.50000000000001,27.276712597564774,76.4905489607508
43.50000000000001,26.686933004020407,76.90262929969774
44.50000000000001,26.277672245712363,78.0773650017208
45.50000000000001,25.94158773931223,64.19560852970054
46.50000000000001,17.452034185327793,90.374383564419
47.50000000000001,25.47788525212871,89.85925181998016
48.50000000000001,25.077373823446397,89.2913194836899
49.50000000000001,24.50571034382813,88.97319698617518
50.50000000000001,24.6381913858191,88.77864767549798
51.50000000000001,25.229932967787107,88.41407063377811
52.50000000000001,6.658017593053136,87.82599790572341
